Overall,Name,School Team,Bib No,Time,Penalty
1,Edoardo Giuseppe Leone,UCLA,251,1:44:36,
2,Angel Rodriguez,USC,42,1:49:40,
3,Nick Dorn,Stanford University,323,1:50:23,
4,Simon Phipps,Cal Poly SLO,121,1:51:34,
5,Scott Oshea,UC Davis,354,1:51:47,
6,Oliver Pilon,Cal Poly SLO,133,1:51:51,
7,Nico Wood,Cal Poly SLO,45,1:53:03,
8,Hugh Saulsbury,UC Berkeley,336,1:53:14,
9,Cody Balazs,Cal Poly SLO,270,1:54:02,
10,Daniel Schwedock,UC Santa Barbara,339,1:54:29,
11,Dmitriy Major,UC San Diego,231,1:55:53,
12,Colter Purcell,Cal Poly SLO,101,1:56:46,
13,Alexander Kourjanski,NA,290,1:56:47,
14,Kyle Miller,Stanford University,173,1:56:50,
15,Trent Johnson,UC Berkeley,142,1:57:39,
16,Connor Logan,UC Santa Barbara,227,1:57:57,
17,Jacob Wolf,UC San Diego,299,1:58:08,
18,Bernardo Moreno,UC Berkeley,195,1:58:28,02:00
19,Emiliano Olivo Cauberghs,UCLA,269,1:59:41,
20,Jeremy McCulloch,Stanford University,118,1:59:45,
21,Thomas Cuvillier,USC,67,2:00:00,
22,Jacob Lebovitz,UC Berkeley,378,2:00:23,
23,Lorenzo Magni,Stanford University,64,2:00:27,
24,Keaton Holt,UC San Diego,153,2:00:36,
25,Kieran Stanko,UC San Diego,266,2:01:11,
26,Jason De Haaff,UC Berkeley,211,2:01:43,
27,Ryken Thompson,Cal Poly SLO,377,2:02:19,
28,Fabrice Kurmann,UC Santa Cruz,4,2:02:21,
29,Justin Tong,NA,156,2:02:57,
30,Jaden Moore,UC Santa Barbara,330,2:03:10,
31,Jasper Zhou,UC Davis,94,2:03:27,
32,Colin Leahey,USC,54,2:04:00,
33,Casey Wolf,Cal Poly SLO,232,2:04:40,
34,Garett Goodale,Univ. of Central,33,2:04:59,
35,Kyle Johnson,NA,344,2:05:21,
36,Dustin Duncan,UC Santa Barbara,246,2:05:22,
37,Stamatis Frangoulis,NA,163,2:05:33,
38,Nick Bernal,NA,155,2:05:53,
39,Claes James,Cuesta College,326,2:06:09,
40,Donovan Truel,UC Santa Barbara,327,2:06:13,
41,Zander Opperman,Stanford University,96,2:06:19,
42,Jude Maes,UC Santa Barbara,254,2:06:51,
43,Petros Kousis,UC Santa Barbara,259,2:07:23,
44,Noah Snider,UC San Diego,90,2:07:32,
45,Sidney Shaskan,UC Berkeley,177,2:08:04,
46,Joshua Scott,UC San Diego,225,2:09:23,
47,Jeremy Shek,UC San Diego,277,2:10:23,
48,Dominic Barty,NA,233,2:10:46,
49,Christopher Araujo,USC,69,2:10:52,
50,Kalani Daniel,UC San Diego,129,2:11:08,
51,Natan Dei,UC San Diego,228,2:11:09,
52,Ethan Ma,UC Santa Cruz,291,2:11:18,
53,David Wetzler,NA,157,2:12:30,
54,Jaime Yu,Stanford University,116,2:13:30,
55,Wesley Bantugan,UC San Diego,85,2:14:04,
56,Carson Geyer,UC Davis,357,2:14:24,
57,Philip Kovelman-Ottilie,UC Santa Cruz,150,2:15:09,
58,Leo Monier,UC Davis,364,2:15:18,
59,Jack Waterman,USC,188,2:15:49,
60,Evan Margiotta,UC Santa Barbara,334,2:16:12,
61,Derrick Chan,UC Santa Barbara,287,2:16:55,
62,Jason Wartenberg,UC Santa Barbara,256,2:16:56,
63,Owen Dunkley,Stanford University,134,2:17:10,
64,Logan King,UC San Diego,110,2:17:21,
65,Jeffrey Durrant,Stanford University,136,2:17:26,
66,Jacob Niyazov,UCLA,39,2:17:36,
67,Ian Schaub,Cal Poly SLO,224,2:17:45,
68,Charlie Black,Cal Poly SLO,81,2:17:45,
69,Cheng Jun Poon,UC Davis,71,2:18:32,
70,Miguel Reyes,NA,168,2:19:18,
71,Tyler Ngo,UC Santa Barbara,302,2:20:36,
72,Hudson Gehrke,UC San Diego,292,2:20:38,
73,Trevor Perey,Stanford University,62,2:20:44,
74,Matthew Ring,USC,144,2:22:25,
75,Mason Higgins,Cal Poly SLO,99,2:22:45,
76,Raul Tabares,UC Irvine,324,2:23:11,
77,Alonzo Monk,USC,204,2:23:33,
78,Azure Sueda,UC Irvine,329,2:24:07,
79,Scott Frizzell,Cal Poly SLO,100,2:24:36,
80,Jonas Lapier,Stanford University,97,2:24:50,
81,Daniel Wu,Santa Clara University,367,2:25:09,
82,Erol Ayik,UC Berkeley,260,2:25:21,
83,Lachlan Guo,UCLA,240,2:25:22,
84,Alexander Quemuel,UC Berkeley,122,2:25:25,
85,Edward Yeretnov,UC Davis,348,2:25:47,
86,Liam McGee,UC Santa Barbara,198,2:26:18,
87,Pere Boncompte,NA,278,2:26:24,
88,Samuel Parker,UC Santa Barbara,301,2:26:25,
89,Suhail Samidon,USC,130,2:26:39,
90,Gavin Rose,Cal Poly SLO,208,2:26:46,
91,Noah Alikian,Cal Poly SLO,239,2:26:50,
92,Jack Muoio,Cal Poly SLO,268,2:27:14,
93,David Broom,UC Santa Barbara,257,2:27:34,
94,Eugene Lim,Santa Clara University,243,2:27:55,
95,Ben Schroeder,UC Irvine,325,2:28:26,
96,Jack Flynn,Stanford University,172,2:28:50,
97,Diego Freeman-Garcia,UC Santa Cruz,311,2:29:04,
98,Jacob Goria,UC Santa Barbara,253,2:29:11,
99,Jack Kumashiro,UC Berkeley,138,2:29:22,
100,Tucker Erbeck,USC,226,2:29:24,
101,Kavin Pugazhenthi,UC San Diego,234,2:29:42,
102,Enrique Flores,Stanford University,164,2:29:43,
103,Matthew Wold,Cal Poly SLO,293,2:29:52,
104,Lorenzo Pepe,UC Santa Barbara,267,2:29:57,
105,Jose Ferreira,USC,123,2:30:02,
106,Emilio Benitez,"University of Nevada,",194,2:30:06,
107,Jack Hervey,UC Davis,333,2:30:11,
108,Noah Bolton,Cal Poly SLO,27,2:30:37,
109,Michael Lee,USC,219,2:31:09,
110,Allan Pham,Cal Poly SLO,258,2:31:16,
111,Jd Black,USC,46,2:31:31,
112,Jaren Olivas,NA,167,2:32:02,
113,Connor Billings,Cal Poly SLO,124,2:32:21,
114,Eric Pedley,UC Irvine,314,2:32:37,
115,Will Bricca,UC Santa Barbara,280,2:32:41,
116,Joshua Romo,Stanford University,98,2:33:09,
117,Matthew Ozark,Santa Clara University,215,2:33:24,
118,Bing Lin,UC Santa Barbara,322,2:33:26,
119,Andre Gu,Stanford University,70,2:34:56,
120,Austin Liu,UCLA,386,2:34:59,
121,Stephen Liaskos,USC,385,2:35:40,
122,Cayden Baldwin,UC Berkeley,199,2:37:21,
